# 
# This file contains the HMF from halo catalogs.
# 
# 
# <Mvir> dndlogm
#
9.068969000000000000e+12 5.124542999999999633e-04
1.081305000000000000e+13 4.422803000000000216e-04
1.293072000000000000e+13 3.769940000000000162e-04
1.546699000000000000e+13 3.191084999999999755e-04
1.846051000000000000e+13 2.694120000000000152e-04
2.203633000000000000e+13 2.250033999999999877e-04
2.632000000000000000e+13 1.892018000000000085e-04
3.142876000000000000e+13 1.574222000000000121e-04
3.753691000000000000e+13 1.308554000000000076e-04
4.483646000000000000e+13 1.075935999999999993e-04
5.358841000000000000e+13 8.835315999999999689e-05
6.395676000000000000e+13 7.186462000000000449e-05
7.631879000000000000e+13 5.815202999999999692e-05
9.108900000000000000e+13 4.681728000000000181e-05
1.087846000000000000e+14 3.738575000000000031e-05
1.298925000000000000e+14 2.932363000000000032e-05
1.550445000000000000e+14 2.311719999999999951e-05
1.850667000000000000e+14 1.776079000000000042e-05
2.207726000000000000e+14 1.358056000000000063e-05
2.637117000000000000e+14 1.008885000000000082e-05
3.148609000000000000e+14 7.516428999999999893e-06
3.755815000000000000e+14 5.329589999999999908e-06
4.478105000000000000e+14 3.732287999999999916e-06
5.340128000000000000e+14 2.578143999999999875e-06
6.386474000000000000e+14 1.715724999999999993e-06
7.617471000000000000e+14 1.104796000000000095e-06
9.082216000000000000e+14 7.062606000000000317e-07
1.082914000000000000e+15 4.112119999999999899e-07
1.295693000000000000e+15 2.236251000000000110e-07
1.543672000000000000e+15 1.276998000000000011e-07
1.838027000000000000e+15 5.785626999999999877e-08
2.196283000000000000e+15 3.245124999999999751e-08
2.576162000000000000e+15 9.172016999999999802e-09
3.134720000000000000e+15 3.527382000000000093e-09
3.755633000000000000e+15 2.116367999999999986e-09
4.454000000000000000e+15 7.055237000000000004e-10
5.357699000000000000e+15 0.000000000000000000e+00
6.396251000000000000e+15 0.000000000000000000e+00
7.636145000000000000e+15 0.000000000000000000e+00
9.116416000000000000e+15 0.000000000000000000e+00
